MASTER_ID,NAME,LOC,STATUS,BILL_ACC_CNT,SERV_ACC_CNT,ACTV_ASSET_CNT,ORDER_CNT,TOT_NEW_SALE,TOT_UPGRADE,TOT_DGRADE,TOT_CHURN_AMT,Revenue(ZAR)
1-C7-12576,SOLIDARITEIT,ORA-620082_21418,Active,1,0,0,0,0,0,0,0,R3 000.93
1-C7-12585,HOOPER MOTORS,ORA-620288_21454,Active,1,1,10,0,0,0,0,0,R1 654.86
1-C7-12587,PROTECH IT (PTY) LTD,ORA-620298_21456,Active,1,15,26,2,0,0,0,-2964,-R1 545.06
1-C7-12631,CEDAR EMPLOYEE BENEFITS AND CONSULTANTS (PTY) LTD,ORA-622813_21594,Active,1,1,7,0,0,0,0,0,R2 107.44
1-C7-12633,RFC TRADING,ORA-622741_21575,Active,1,7,7,0,0,0,0,0,R0.00
1-C7-12653,ABSA.,ORA-623707_21614,Active,1,0,0,0,0,0,0,0,R16 610.00
1-C7-12666,SAMUEL VOS (PRIVATE),ORA-624479_21655,Active,1,1,4,0,0,0,0,0,R235.98
1-C7-12740,PLASTIC BUBBLES,ORA-627841_21858,Active,1,1,12,6,135754,0,0,0,R17 564.31
1-C7-12747,HARVEY FOX (PTY) LTD,ORA-628168_21861,Active,1,1,1,0,0,0,0,0,R140.00
1-C7-12780,H.C. VAN WYK DIAMONDS LTD,ORA-632811_21975,Active,1,10,129,13,80900,0,0,-1697607,R110 264.03
1-C7-12791,MATLOSANA MEDICAL HEALTH SERVICES (PTY) LTD,ORA-635574_22016,Active,1,1,14,0,0,0,0,0,R6 838.00
1-C7-12819,CITY WORKS,ORA-642143_22115,Active,1,0,3,0,0,0,0,0,R10 019.00
1-C7-12828,ACKERMANS,ORA-641452_22075,Active,1,5,18,0,0,0,0,0,R0.00
1-C7-12837,REGARDING CAPITAL MANAGEMENT (PTY) LTD,ORA-641824_22096,Active,1,2,5,2,0,0,0,-82857.6,R2 529.29
1-C7-12860,SMILE COMMUNICATIONS (PTY) LTD,ORA-642891_22195,Active,1,1,11,4,0,0,0,0,R8 358.96
1-C7-12862,ONLINE NETWORK SYSTEMS (PTY) LTD,CAPE TOWN,Active,1,0,17,5,135856,23400,0,0,R11 658.30
1-C7-1287,EQUITY TRUST FINANCIAL SERVICES (PTY) LTD,WATERKLOOF,Active,1,0,7,0,0,0,0,0,R2 099.89
1-C7-12880,THE DREAMFIELDS PROJECT,ORA-644941_22276,Inactive,0,0,0,0,0,0,0,0,R0.00
1-C7-12914,SOUTH AFRICAN SUGAR ASSOCIATION,ORA-647256_22395,Active,1,4,28,0,0,0,0,0,R20 167.82
