MASTER_ID,STATUS,BILL_ACC_CNT,SERV_ACC_CNT,ACTV_ASSET_CNT,ORDER_CNT,TOT_NEW_SALE,TOT_UPGRADE,TOT_DGRADE,TOT_CHURN_AMT,REVENUE
1-LANCMS,Active,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
1-LB2VB6,Active,1.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,5403.91
1-LBVDQX,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-LCLHXU,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,375.00
1-LCWOYL,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,540.00
1-LEXV2S,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-LFH9SO,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-LGGFPF,Active,1.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,350.00
1-LGIPV2,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,250.00
1-LGKECY,Active,1.00,2.00,97.00,10.00,10944360.72,0.00,0.00,0.00,303301.75
1-LH30NS,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-LLUZYL,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-LLVJJT,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-LLX0HU,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-LLX98G,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,250.00
1-LLYVEF,Active,1.00,0.00,2.00,2.00,0.00,0.00,0.00,-2083.20,173.60
1-LP7D8B,Active,1.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,720.61
1-LP7DN4,Active,1.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,75.00
1-MFQZNV,Active,1.00,4.00,118.00,6.00,68544.00,2050.40,-2504.00,0.00,197576.54
1-MMJ4F1,Active,1.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,3833.39
1-MR5GRU,Active,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,53.76
1-MRKOUT,Active,2.00,25.00,232.00,11.00,0.00,0.00,0.00,0.00,105351.23
1-MU1FBG,Active,1.00,0.00,21.00,0.00,1200.00,0.00,0.00,0.00,3312.29
1-MVN3P4,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,400.00
1-MZYJ7U,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-N05S96,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,545.00
1-N0CAEC,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1-N0CGZ1,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,112.50
1-N0GUKB,Active,1.00,0.00,7.00,4.00,0.00,0.00,0.00,-140774.40,12280.69
1-N0MCMS,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2348.83
1-N0PTYG,Active,1.00,0.00,7.00,3.00,0.00,10142.00,0.00,0.00,9643.70
1-N19MMV,Active,1.00,0.00,4.00,3.00,0.00,0.00,0.00,-8904.00,2148.04
1-N1CEF9,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,250.00
1-N1CQBW,Active,1.00,0.00,1.00,12.00,19002.00,0.00,0.00,-125218.20,2874.38
1-N1TCRW,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-N3B4MM,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,-1187.50
1-N4V4BO,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,453.23
1-N4ZFNV,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-N53EMV,Active,1.00,0.00,0.00,5.00,0.00,0.00,0.00,-29988.00,360.97
1-N54J88,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,831.04
1-N5PJ7V,Active,1.00,0.00,65.00,24.00,248961.00,58320.00,1800.00,0.00,9523.17
1-N699UO,Active,1.00,249.00,4814.00,271.00,2638485.33,333922.00,0.00,-103308.00,830079.59
1-N6SEOM,Active,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1991.17
1-N6TCDA,Active,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
1-N6TVGS,Active,1.00,0.00,60.00,38.00,1539621.00,18716.00,0.00,-1410277.68,238828.82
1-N6U4CS,Active,1.00,4.00,88.00,14.00,73164.00,0.00,0.00,0.00,61495.96
1-N6Y5XK,Active,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00
1-N73SKY,Active,1.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,34248.95
1-N8MFM7,Active,1.00,1.00,9.00,11.00,0.00,0.00,0.00,0.00,-1260.39
1-NBETML,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,264.70
1-NCOYRC,Active,1.00,1.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00
1-NE0BM6,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,140.00
1-NE1JP7,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-NE1WXF,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-NFF5T3,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2650.05
1-NFH811,Active,1.00,1.00,0.00,4.00,0.00,0.00,0.00,-7188.00,99.83
1-NFRBHV,Active,1.00,1.00,545.00,51.00,561133.80,0.00,-343424.48,-133224.00,481012.90
1-NFST6O,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,545.00
1-NGG8FT,Active,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,2034.36
1-NGHHOH,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,436.00
1-NGHPD8,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-NGKH0M,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-NH3NII,Active,1.00,1.00,78.00,9.00,2510.00,19637.40,0.00,-110947.20,54092.45
1-NHD7KM,Active,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
1-NHQBVE,Active,1.00,9.00,73.00,19.00,206424.00,0.00,0.00,-922030.56,239033.46
1-NHZM5F,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1712.50
1-NIANPS,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-NIAOBF,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-NIGK6O,Active,1.00,4.00,72.00,24.00,0.00,0.00,0.00,-410439.84,31985.99
1-NIKAQA,Active,1.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,4908.33
1-NIV8PC,Active,1.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,200.00
1-NIWZMP,Active,1.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,200.00
1-NIWZS2,Active,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,300.00
1-NIY4Y4,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,100.00
1-NJP1L9,Active,1.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,14952.00
1-NKAAXK,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,375.00
1-NKBKPZ,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-NKCO39,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,200.00
1-NM8J6T,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-NMCWVU,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-NME1GL,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-NME2D8,Active,1.00,3.00,797.00,107.00,4580.00,0.00,0.00,0.00,16681.33
1-NMHKEK,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,133.33
1-NMUR2U,Active,1.00,0.00,63.00,4.00,0.00,0.00,0.00,-90684.00,41997.21
1-NOV9W,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-NPDNTL,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,306.88
1-NPEF7Z,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00
1-NPRLIN,Active,1.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
1-NPT9OS,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-NQ1N0O,Active,1.00,0.00,6.00,3.00,0.00,0.00,0.00,0.00,6240.00
1-NQIL4A,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-NQILJC,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00
1-NQKMJG,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-NQKMQU,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-NR6F7X,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-189.41
1-NR9GFH,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-NSZLYM,Active,1.00,0.00,7.00,3.00,0.00,0.00,0.00,-17988.00,1499.00
1-NTN8SO,Active,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1673.65
1-NUUQYE,Active,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00
1-NVALZG,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,50.00
1-NVCNYR,Active,1.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,3702.93
1-NVDWJE,Active,1.00,0.00,28.00,11.00,0.00,0.00,0.00,-499769.64,41647.47
1-NVZXSC,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1-NY14VY,Active,1.00,1.00,6.00,4.00,0.00,0.00,0.00,-235244.64,12469.64
1-NYXIK4,Active,1.00,13.00,41.00,14.00,0.00,0.00,0.00,0.00,20175.34
1-NZA7LW,Active,1.00,0.00,21.00,0.00,372895.20,198000.00,0.00,0.00,43256.26
1-NZUGNI,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,375.00
1-NZUTD0,Active,1.00,26.00,36.00,0.00,0.00,0.00,0.00,0.00,24804.00
1-NZZ3W,Active,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
1-O0RY6E,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,166.67
1-O0VEXH,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,200.00
1-O1S6Z8,Active,1.00,3.00,150.00,6.00,11500.00,0.00,0.00,0.00,183203.33
1-O4QZ78,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-O5XTS1,Active,1.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,799.00
1-O5Y8N8,Active,1.00,1.00,33.00,9.00,0.00,39820.00,0.00,-49644.00,49323.90
1-O60M2O,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2952.83
1-O68CWB,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-O6A45M,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,785.00
1-O8FT20,Active,1.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,66.67
1-O8LVPS,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-O8LW2W,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,250.00
1-O8NSDZ,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,125.00
1-ODNVNI,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-ODNVVR,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-ODOQVA,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-ODPMW3,Active,1.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,200.00
1-ODPNAH,Active,1.00,0.00,13.00,2.00,0.00,0.00,0.00,0.00,13237.43
1-OE73LY,Active,1.00,27.00,639.00,16.00,535360.00,0.00,0.00,0.00,467490.12
1-OG8WIY,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,16.67
1-OGZGSS,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-OIAQG7,Active,1.00,0.00,9.00,0.00,131176.00,0.00,0.00,0.00,16338.57
1-OO2NHS,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-OOA9LY,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,300.91
1-OPWLHD,Active,1.00,1.00,11.00,3.00,0.00,0.00,0.00,-66927.96,5577.33
1-ORTZM7,Active,1.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,137280.00
1-OSWK21,Active,1.00,6.00,71.00,5.00,0.00,0.00,0.00,-409540.80,144341.82
1-OTGSZU,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00
1-OTJ631,Active,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1164.20
1-OTPQU8,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,250.00
1-OV9VUM,Active,1.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,66.67
1-OVA7R9,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,145.33
1-OVAYON,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-OWZWP3,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11611.40
1-OX5TU6,Active,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
1-OXUZ9P,Active,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,1280.16
1-OXZUPH,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-P1EHI2,Active,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1969.00
1-P1FJ5X,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1-P3KCQA,Active,1.00,1.00,0.00,7.00,0.00,0.00,0.00,0.00,9075.55
1-P3RA35,Active,1.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,3033.58
1-P4W7TU,Active,1.00,0.00,1.00,2.00,0.00,0.00,0.00,-64596.00,5203.57
1-P4W86D,Active,1.00,0.00,16.00,0.00,9340.00,0.00,0.00,0.00,8424.22
1-P4Z1E3,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1-P57E38,Active,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,1074559.18
1-P7J81K,Active,1.00,1.00,25.00,0.00,144726.82,0.00,0.00,149400.00,236050.64
1-P7KERZ,Active,1.00,0.00,9.00,2.00,450646.00,21792.72,0.00,0.00,11112.00
1-P7KEWT,Active,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,6919.00
1-P7KFB8,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-P7Y7IB,Active,1.00,17.00,147.00,3.00,0.00,0.00,0.00,0.00,75378.76
1-P848BX,Active,1.00,9.00,109.00,7.00,1685756.00,-9541.48,0.00,-129717.72,22371.74
1-P86UMM,Active,1.00,3.00,31.00,0.00,232854.00,0.00,0.00,0.00,49387.29
1-P9PKRN,Active,1.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,10996.13
1-PAKH8C,Active,1.00,1.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
1-PB9VI8,Active,1.00,0.00,0.00,3.00,0.00,0.00,0.00,-9161.52,636.22
1-PC1A7N,Active,1.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,4885.67
1-PC1F82,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-41.67
1-PCQOXW,Active,1.00,1.00,16.00,0.00,0.00,0.00,0.00,0.00,72173.00
1-PCRXHS,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,988.62
1-PHDMGA,Active,1.00,1.00,274.00,0.00,0.00,0.00,0.00,0.00,585755.91
1-PHIU5M,Active,1.00,15.00,1.00,0.00,0.00,0.00,0.00,0.00,16.67
1-PHKVMW,Active,1.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00
1-PNB6O1,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00
1-PNK0TP,Active,2.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,13816.41
1-PNL9HC,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-POMG3W,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,133.33
1-POY5OU,Active,1.00,8.00,210.00,16.00,27079.00,0.00,0.00,-120744.00,101406.26
1-PP7SXO,Active,1.00,0.00,2.00,2.00,0.00,0.00,0.00,-2607.36,592.89
1-PQCKAL,Active,1.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,200.00
1-PQCKIK,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-PQEN2S,Active,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,166.67
1-PQENGE,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00
1-PQHNBR,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,-41.67
1-PSF5B5,Active,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,7955.30
1-PSHE2D,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-PTFQFC,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,133.33
1-PTGX4V,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-PTS132,Active,1.00,0.00,10.00,3.00,0.00,0.00,0.00,0.00,7571.85
1-PU82FA,Active,2.00,54.00,1159.00,108.00,337354.00,522752.00,0.00,-6300.00,744512.27
1-PUN9S2,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,675.00
1-PUUGM4,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,375.00
1-PUW4P6,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,166.67
1-PUX46E,Active,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,616.55
1-PW2F9O,Active,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1129.67
1-PW62TB,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-PW76XE,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-PW771H,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-PW774T,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-PWBG8K,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,250.00
1-PWC0WZ,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,66.67
1-PWOUUO,Active,1.00,0.00,6.00,2.00,0.00,0.00,0.00,-3540.00,1426.99
1-PWSYWL,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,200.00
1-PWSZ71,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1-PWTMLJ,Active,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,250.00
1-PX5EJ5,Active,1.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,41118.00
1-PXPTH3,Active,1.00,0.00,95.00,6.00,0.00,0.00,0.00,0.00,216372.74
1-PZBW1I,Active,1.00,1.00,17.00,0.00,283532.00,0.00,0.00,0.00,23780.06
1-PZGP6Z,Active,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.52
1-PZIRNY,Active,1.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00
